					课			意思							英文
アメリカ			初级上1		美国							America
フランス			初级上1		法国							France
ノート				初级上2		笔记本，本子					Note
カメラ				初级上2		照相机							Camera
テレビ				初级上2		电视机							Television
パソコン			初级上2		个人电脑						Personal Computer
ラジオ				初级上2		收音机							Radio
シルク				初级上2		丝绸							Silk
ハンカチ			初级上2		手绢							Handkerchief
デパート			初级上3		百货商店						Department
マンション			初级上3		高级公寓						Mansion
ホテル				初级上3		宾馆							Hotel
コンビニ			初级上3		便利店							Convenience Store
レストラン			初级上3		餐馆							Restaurant
ビル				初级上3		大楼，大厦						Build
エスカレーター		初级上3		自动扶梯						Escalator
コート				初级上3		风衣							Coat
デジカメ			初级上3		数码相机						Digital Camera
カベ				初级上4		墙壁							Cover
スイッチ			初级上4		开关							Switch
ビデオ				初级上4		录像机							Video
サッカーボール		初级上4		足球							Soccer Ball
ビール				初级上4		啤酒							Beer
ウイスキー			初级上4		威士忌							Whisky
コンサート			初级上6		音乐会							Concert
クリスマス			初级上6		圣诞节							Christmas
フェリー			初级上6		渡轮							Ferry
バス				初级上6		公共汽车						Bus
タクシー			初级上6		出租车							Taxi
アパート			初级上6		公寓							Apartment
プール				初级上6		游泳池							Pool
ペキン				初级上6		北京							Peking
コーヒー			初级上7		咖啡							Coffee
コーラ				初级上7		可乐							Cola
ワイン				初级上7		葡萄酒							Wine
パン				初级上7		面包							Bread
ケーキ				初级上7		蛋糕							Cake
カレー				初级上7		咖喱							Curry
チーズ				初级上7		奶酪							Cheese
リンゴ				初级上7		苹果							【并非外来语】
イチゴ				初级上7		草莓							【并非外来语】
テニス				初级上7		网球							Tennis
ジョギング			初级上7		慢跑							Jogging
サッカー			初级上7		足球							Soccer
シーディー			初级上7		CD								CD
パンダ				初级上7		熊猫							Panda
プレゼント			初级上8		礼物							Present
チケット			初级上8		票								Ticket
パンフレット		初级上8		小册子							Pamphlet
スケジュール		初级上8		日程							Schedule
ボールペン			初级上8		圆珠笔							Ballpoint Pen
ファックス			初级上8		传真							Fax
メール				初级上8		邮件							Mail
チョコレート		初级上8		巧克力							Chocolate
アイスクリーム		初级上8		冰淇淋							Icecream
スプーン			初级上8		勺子							Spoon
スープ				初级上9		汤								Soup
ペキンダック		初级上9		北京烤鸭						Peking Duck
ニュース			初级上9		新闻							News
グラス				初级上9		玻璃杯							Glass
シーズン			初级上10	季节							Season
ハンサム			初级上10	英俊，帅气						Handsome
カラオケ			初级上11	卡拉ok							Karaoke
ロック				初级上11	摇滚乐							Rock
ポップス			初级上11	流行音乐						Pops
クラシック			初级上11	西方古典音乐					Classical
ピアノ				初级上11	钢琴							Piano
スポーツ			初级上11	体育，运动						Sport
ゴルフ				初级上11	高尔夫球						Golf
ヒマワリ			初级上11	向日葵							-
バラ				初级上11	蔷薇，玫瑰						-
コンピュータ		初级上11	计算机，电脑					Computer
ナシ				初级上12	梨								-
ミカン				初级上12	橘子							-
ウーロン			初级上12	乌龙							Oolong
ジャスミン			初级上12	茉莉花							Jasmine
ジュース			初级上12	果汁							Juice
クラス				初级上12	班级							Class
チョモランマ		初级上12	珠穆朗玛峰						
アルバム			初级上13	相册							Album
タバコ				初级上13	烟草							Tobacco
ガレージ			初级上13	车库，汽车房					Garage
ボーリング			初级上13	保龄球							Bowling
メモ				初级上14	记录							Memo
ドア				初级上14	门								Door
バーベキュー		初级上14	烤肉							Barbecue
コピー				初级上14	复印							Copy
ボート				初级上15	小船，小艇						Boat
ベンチ				初级上15	长椅，长凳						Bench
クーラー			初级上15	空调							Cooler
デザイン			初级上16	设计（图），（制作）图案		Designer
アイディーカード	初级上16	身份证件						ID Card
サービス			初级上16	服务							Service
クリスマスツリー	初级上16	圣诞树							Christmas Tree
ユニーク			初级上16	独特							Unique
セーター			初级上17	毛衣							Sweater
ノートパソコン		初级上17	笔记本电脑						Note Personal Computer
バイク				初级上17	摩托车							Bike
ドラマ				初级上17	连续剧							Drama
ベートーベン		初级上17	贝多芬							-
ショパン			初级上17	肖邦							-
ヨーロッパ			初级上17	欧洲							Europe
ホンコン			初级上17	香港							Hong Kong
スイス				初级上17	瑞士							Switzerland
パイロット			初级上18	飞行员							Pilot
デザイナー			初级上18	设计者，设计家					Designer
タイムサービス		初级上18	时段廉价销售					Time Service
シャツ				初级上18	衬衫							Shirt
スカート			初级上18	裙子							Skirt
シンプル			初级上18	单纯，纯洁						Simple
コース				初级上19	路线，滑道						Course
スキー				初级上19	滑雪							Skiing
レポート			初级上19	报告							Report
パスポート			初级上19	护照							Passport
ギター				初级上20	吉他							Guitar
ドラーブ			初级上20	兜风，开汽车远游				Drive
ギョーザ			初级上20	饺子							-
シャワー			初级上20	淋浴							Shower
キャンプ			初级上20	野营							Camp
メールアドレス		初级上21	邮件地址						Mail Address
ゴールデンウィーク	初级上21	黄金周							Golden Week
バドミントン		初级上22	羽毛球							Badminton
ラケット			初级上22	球拍							Racket
モーツァルト		初级上22	莫扎特							-
ディズニーランド	初级上22	迪士尼乐园						-
スケート			初级上23	滑冰，溜冰						Skate
ハイキング			初级上24	郊游，远足						Hiking
エレベーター		初级下25	电梯							Elevator
チェック			初级下25	确认							Check
バーゲン			初级下26	降价出售						Bargain
クレジットカード	初级下26	信用卡							Credit Card
スケッチ			初级下26	素描，写生						Sketch
ダンス				初级下27	舞								Dance
センター			初级下27	中心							Center
アルバイト			初级下27	打工，副业，工读				【德语】								
スピーチ			初级下27	演说，演讲						Speech	
グラフ				初级下27	图表							Graph
マフラー			初级下28	围巾							Muffler
ネックレス			初级下28	项链							Necklace
フジ				初级下29	紫藤							-
カササギ			初级下29	喜鹊							-
マーク				初级下29	符号							Mark
スピード			初级下29	速度							Speed
テーブル			初级下29	桌子							Table
シュート			初级下29	射门，投篮						Shoot
ピクニック			初级下30	郊游							Picnic
ピザ				初级下30	比萨饼							Pizza
パンク				初级下30	轮胎爆裂，撑破					Puncture
ボタン				初级下31	按钮；纽扣						Button
ブローチ			初级下31	胸针							Brooch
カーテン			初级下31	窗帘，帘子						Curtain
コンクリート		初级下31	混凝土，水泥					Concrete
プラスチック		初级下31	塑胶，塑料						Plastic
サイズ				初级下31	大小，尺寸						Size
スイカ				初级下31	西瓜							-
メートル			初级下31	米								Meter
ボーナス			初级下32	奖金							Bonus
ラーメン			初级下32	面条							-
インフルエンザ		初级下32	流感，流行性感冒				Influenza
スーツケース		初级下33	旅行箱							Suitcase
トランク			初级下33	后备箱；手提箱，皮箱			Trunk
スーツ				初级下33	西服，女套装					Suit
ズボン				初级下33	裤子							-
ティーシャツ		初级下33	T恤衫							T-Shirt
サンダル			初级下33	凉鞋							Sandal
チーム				初级下33	队伍							Team
カキ				初级下33	柿子							-
カレンダー			初级下34	挂历，日历						Calendar
ポスター			初级下34	宣传画，海报					Poster
ハードスケジュール	初级下34	紧张的日程						Hard Schedule
カレーライス		初级下34	咖喱饭							Curry Rice
ロッカー			初级下34	橱柜，文件柜					Locker
バッグ				初级下34	包，手提包						Bag
ダイエット			初级下34	减肥							Diet
オリンピック		初级下34	奥运会，奥林匹克				Olympic
マラソン			初级下35	马拉松							Marathon
ホームパーティー	初级下35	家庭聚会						Home Party
ゴーカート			初级下35	游戏汽车，玩具汽车				-
テレビゲーム		初级下35	电子游戏						Television Game
カタログ			初级下35	目录，商品目录					Catalog
ビタミン			初级下35	维生素							Vitamin
フライパン			初级下36	平底锅							Frying Pan
グラウンド			初级下36	操场，运动场					Ground
テープ				初级下36	磁带，音像带					Tape
コスト				初级下36	成本							Cost
メダル				初级下37	纪念章，奖牌					Medal
ソフト				初级下37	软件							Soft
ボリューム			初级下37	音量							Volume
コップ				初级下38	杯子							-
ペットボトル		初级下38	塑料瓶							Pet Bottle
エンジン			初级下38	发动机，引擎					Engine
タイヤ				初级下38	轮胎							Tire
フートン			初级下38	胡同							-
ヨウティアオ		初级下38	油条							-
ストレス			初级下38	精神紧张状态					Stress
